Date,Price,Change %
3/12/2021,84.6,0.07%
3/11/2021,84.54,0.00%
3/10/2021,84.54,-0.06%
3/9/2021,84.59,0.00%
3/8/2021,84.59,-0.04%
3/5/2021,84.62,-0.20%
3/4/2021,84.79,0.40%
3/3/2021,84.45,0.00%
3/2/2021,84.45,0.46%
3/1/2021,84.06,-0.66%
2/26/2021,84.62,-0.20%
2/25/2021,84.79,0.20%
2/24/2021,84.62,0.30%
2/23/2021,84.37,0.24%
2/22/2021,84.17,-0.12%
2/19/2021,84.27,-0.20%
2/18/2021,84.44,-0.14%
2/17/2021,84.56,0.54%
2/16/2021,84.11,-0.61%
2/15/2021,84.63,0.49%
2/12/2021,84.22,-0.38%
2/11/2021,84.54,-0.29%
2/10/2021,84.79,0.50%
2/9/2021,84.37,-0.08%
2/8/2021,84.44,0.49%
2/5/2021,84.03,-0.60%
2/4/2021,84.54,0.31%
2/3/2021,84.28,-0.20%
2/2/2021,84.45,-0.40%
2/1/2021,84.79,0.50%
1/29/2021,84.37,-0.20%
1/28/2021,84.54,-0.05%
1/27/2021,84.58,0.53%
1/26/2021,84.13,-0.19%
1/25/2021,84.29,0.17%
1/22/2021,84.15,-0.75%
1/21/2021,84.79,0.59%
1/20/2021,84.29,0.01%
1/19/2021,84.28,-0.61%
1/18/2021,84.8,0.62%
1/14/2021,84.28,0.15%
1/13/2021,84.15,-0.17%
1/12/2021,84.29,0.01%
1/11/2021,84.28,-0.06%
1/8/2021,84.33,0.00%
1/7/2021,84.33,-0.54%
1/6/2021,84.79,0.59%
1/5/2021,84.29,0.05%
1/4/2021,84.25,-0.96%
1/1/2021,85.069,0.95%
12/31/2020,84.27,-0.21%
12/30/2020,84.45,-0.01%
12/29/2020,84.46,-0.04%
12/28/2020,84.49,-0.02%
12/24/2020,84.51,0.07%
12/23/2020,84.45,0.09%
12/22/2020,84.37,0.06%
12/21/2020,84.32,0.17%
12/18/2020,84.18,-0.53%
12/17/2020,84.63,0.24%
12/16/2020,84.43,-0.13%
12/15/2020,84.54,0.18%
12/14/2020,84.39,-0.13%
12/11/2020,84.5,0.06%
12/10/2020,84.45,-0.01%
12/9/2020,84.46,0.07%
12/8/2020,84.4,-0.06%
12/7/2020,84.45,0.32%
12/4/2020,84.18,-0.25%
12/3/2020,84.39,0.04%
12/2/2020,84.36,0.00%
12/1/2020,84.36,-0.12%
11/30/2020,84.46,0.01%
11/27/2020,84.45,-0.40%
11/26/2020,84.79,0.39%
11/25/2020,84.46,0.01%
11/24/2020,84.45,0.05%
11/23/2020,84.41,-0.18%
11/20/2020,84.565,0.28%
11/19/2020,84.33,0.05%
11/18/2020,84.29,0.11%
11/17/2020,84.2,-0.30%
11/16/2020,84.45,0.05%
11/13/2020,84.41,0.05%
11/12/2020,84.37,-0.04%
11/11/2020,84.4,0.01%
11/10/2020,84.39,-0.05%
11/9/2020,84.43,0.07%
11/6/2020,84.37,-0.07%
11/5/2020,84.43,0.25%
11/4/2020,84.22,-0.67%
11/3/2020,84.79,0.74%
11/2/2020,84.17,-0.14%
10/30/2020,84.29,-0.33%
10/29/2020,84.57,0.50%
10/28/2020,84.15,-0.37%
10/27/2020,84.46,-0.20%
10/26/2020,84.63,0.00%
10/23/2020,84.63,0.00%
10/22/2020,84.63,0.00%
10/21/2020,84.63,0.00%
10/20/2020,84.63,0.00%
10/19/2020,84.63,0.00%
10/16/2020,84.63,0.00%
10/15/2020,84.63,0.00%
10/14/2020,84.63,0.00%
10/13/2020,84.63,-0.19%
10/12/2020,84.79,0.19%
10/9/2020,84.63,0.00%
10/8/2020,84.63,0.00%
10/7/2020,84.63,0.00%
10/6/2020,84.63,0.00%
10/5/2020,84.63,0.00%
10/2/2020,84.63,0.00%
10/1/2020,84.63,-0.19%
9/30/2020,84.79,0.19%
9/29/2020,84.63,0.00%
9/28/2020,84.63,0.00%
9/25/2020,84.63,0.00%
9/24/2020,84.63,0.00%
9/23/2020,84.63,0.00%
9/22/2020,84.63,0.00%
9/21/2020,84.63,0.00%
9/18/2020,84.63,-0.20%
9/17/2020,84.8,0.20%
9/16/2020,84.63,0.00%
9/15/2020,84.63,0.00%
9/14/2020,84.63,0.00%
9/11/2020,84.63,0.00%
9/10/2020,84.63,0.00%
9/9/2020,84.63,0.00%
9/8/2020,84.63,-0.20%
9/7/2020,84.8,0.20%
9/4/2020,84.63,0.00%
9/3/2020,84.63,0.00%
9/2/2020,84.63,0.00%
9/1/2020,84.63,0.00%
8/31/2020,84.63,0.00%
8/28/2020,84.63,0.00%
8/27/2020,84.63,0.00%
8/26/2020,84.63,0.00%
8/25/2020,84.63,0.00%
8/24/2020,84.63,0.00%
8/21/2020,84.63,0.00%
8/20/2020,84.63,0.00%
8/19/2020,84.63,0.00%
8/18/2020,84.63,0.00%
8/17/2020,84.63,0.00%
8/13/2020,84.63,0.00%
8/12/2020,84.63,0.00%
8/11/2020,84.63,0.00%
8/10/2020,84.63,0.00%
8/7/2020,84.63,0.00%
8/6/2020,84.63,0.00%
8/5/2020,84.63,0.00%
8/4/2020,84.63,0.00%
8/3/2020,84.63,0.00%
7/31/2020,84.63,0.00%
7/30/2020,84.63,0.00%
7/29/2020,84.63,0.00%
7/28/2020,84.63,0.00%
7/27/2020,84.63,0.00%
7/24/2020,84.63,0.00%
7/23/2020,84.63,0.00%
7/22/2020,84.63,0.00%
7/21/2020,84.63,0.00%
7/20/2020,84.63,0.00%
7/17/2020,84.63,0.00%
7/16/2020,84.63,0.00%
7/15/2020,84.63,0.00%
7/14/2020,84.63,0.00%
7/13/2020,84.63,-0.12%
7/10/2020,84.73,0.00%
7/9/2020,84.73,0.00%
7/8/2020,84.73,-0.07%
7/7/2020,84.79,0.07%
7/6/2020,84.73,-0.13%
7/2/2020,84.84,0.13%
6/30/2020,84.73,0.00%
6/29/2020,84.73,0.00%
6/26/2020,84.73,0.00%
6/25/2020,84.73,0.00%
6/24/2020,84.73,0.00%
6/23/2020,84.73,0.00%
6/22/2020,84.73,0.00%
6/19/2020,84.73,0.00%
6/18/2020,84.73,0.00%
6/17/2020,84.73,0.00%
6/16/2020,84.73,0.00%
6/15/2020,84.73,-0.25%
6/11/2020,84.94,0.25%
6/10/2020,84.73,0.00%
6/9/2020,84.73,0.00%
6/8/2020,84.73,0.00%
6/5/2020,84.73,0.00%
6/4/2020,84.73,0.00%
6/3/2020,84.73,-0.06%
6/2/2020,84.78,0.06%
6/1/2020,84.73,0.00%
5/29/2020,84.73,0.00%
5/28/2020,84.73,-0.06%
5/27/2020,84.78,0.06%
5/26/2020,84.73,0.00%
5/22/2020,84.73,0.00%
5/21/2020,84.73,0.00%
5/20/2020,84.73,0.00%
5/19/2020,84.73,-0.25%
5/18/2020,84.94,0.25%
5/15/2020,84.73,0.00%
5/14/2020,84.73,0.00%
5/13/2020,84.73,0.00%
5/12/2020,84.73,0.00%
5/11/2020,84.73,-0.04%
5/8/2020,84.76,0.00%
5/7/2020,84.76,0.04%
5/6/2020,84.73,0.00%
5/5/2020,84.73,0.00%
5/4/2020,84.73,-0.06%
5/1/2020,84.78,0.00%
4/30/2020,84.78,0.06%
4/29/2020,84.73,0.00%
4/28/2020,84.73,0.00%
4/27/2020,84.73,-0.04%
4/24/2020,84.76,0.00%
4/23/2020,84.76,0.04%
4/22/2020,84.73,0.00%
4/21/2020,84.73,0.00%
4/20/2020,84.73,0.00%
4/17/2020,84.73,0.00%
4/16/2020,84.73,0.00%
4/15/2020,84.73,0.09%
4/14/2020,84.65,0.00%
4/13/2020,84.65,0.00%
4/9/2020,84.65,0.00%
4/8/2020,84.65,0.00%
4/7/2020,84.65,0.00%
4/6/2020,84.65,-0.02%
4/3/2020,84.67,0.00%
4/2/2020,84.67,0.00%
4/1/2020,84.67,0.00%
3/31/2020,84.67,0.00%
3/30/2020,84.67,0.00%
3/27/2020,84.67,0.00%
3/26/2020,84.67,0.00%
3/25/2020,84.67,0.02%
3/24/2020,84.65,0.00%
3/23/2020,84.65,0.00%
3/20/2020,84.65,0.00%
3/19/2020,84.65,-0.05%
3/18/2020,84.69,0.05%
3/17/2020,84.65,0.00%
3/16/2020,84.65,0.00%
3/13/2020,84.65,-0.05%
3/12/2020,84.69,-0.29%
3/11/2020,84.94,0.00%
3/10/2020,84.94,0.34%
3/9/2020,84.65,0.00%
3/6/2020,84.65,0.00%
3/5/2020,84.65,0.00%
3/4/2020,84.65,0.00%
3/3/2020,84.65,0.00%
3/2/2020,84.65,0.00%
2/28/2020,84.65,0.00%
2/27/2020,84.65,-0.06%
2/26/2020,84.7,0.06%
2/25/2020,84.65,0.00%
2/24/2020,84.65,0.00%
2/21/2020,84.65,0.00%
2/20/2020,84.65,0.00%
2/19/2020,84.65,0.00%
2/18/2020,84.65,-0.34%
2/17/2020,84.94,0.34%
2/14/2020,84.65,0.00%
2/13/2020,84.65,0.00%
2/12/2020,84.65,0.00%
2/11/2020,84.65,0.00%
2/10/2020,84.65,0.00%
2/7/2020,84.65,0.00%
2/6/2020,84.65,-0.06%
2/5/2020,84.7,0.06%
2/4/2020,84.65,0.06%
2/3/2020,84.6,0.00%
1/31/2020,84.6,0.00%
1/30/2020,84.6,0.00%
1/29/2020,84.6,0.00%
1/28/2020,84.6,0.00%
1/27/2020,84.6,0.00%
1/24/2020,84.6,0.00%
1/23/2020,84.6,0.00%
1/22/2020,84.6,-0.34%
1/21/2020,84.89,0.00%
1/20/2020,84.89,0.11%
1/17/2020,84.8,0.24%
1/16/2020,84.6,0.00%
1/15/2020,84.6,0.00%
1/14/2020,84.6,-0.34%
1/13/2020,84.89,0.34%
1/10/2020,84.6,0.00%
1/9/2020,84.6,0.00%
1/8/2020,84.6,0.00%
1/7/2020,84.6,0.00%
1/6/2020,84.6,0.00%
1/3/2020,84.6,0.00%
1/2/2020,84.6,-0.34%
1/1/2020,84.89,0.00%
12/31/2019,84.89,0.00%
12/30/2019,84.89,-0.05%
12/27/2019,84.93,0.39%
12/26/2019,84.6,-0.29%
12/25/2019,84.85,0.30%
12/24/2019,84.6,-0.02%
12/23/2019,84.62,-0.32%
12/20/2019,84.895,0.01%
12/19/2019,84.89,0.34%
12/18/2019,84.6,0.00%
12/17/2019,84.6,0.00%
12/16/2019,84.6,0.00%
12/13/2019,84.6,0.00%
12/12/2019,84.6,0.00%
12/11/2019,84.6,0.00%
12/10/2019,84.6,0.00%
12/9/2019,84.6,0.00%
12/6/2019,84.6,0.00%
12/5/2019,84.6,0.00%
12/4/2019,84.6,0.00%
12/3/2019,84.6,-0.06%
12/2/2019,84.65,-0.29%
11/29/2019,84.895,0.01%
11/28/2019,84.89,0.34%
11/27/2019,84.6,0.00%
11/26/2019,84.6,0.00%
11/25/2019,84.6,0.00%
11/22/2019,84.6,0.00%
11/21/2019,84.6,0.00%
